rank	path	bestseller	price	liked_count	published_at	suspending
3227	toranoko114/553d557cb2c12f	False	500	0	2023-01-09T12:30:12.077+09:00	False
3228	mokelab/faae624513304a	False	200	6	2023-01-08T14:01:25.109+09:00	False
3229	keivacance/7218dfe67c4593	False	0	0	2023-01-07T10:47:57.286+09:00	False
3230	ysk1to/248fad8cb34abe	False	0	39	2023-01-06T15:07:39.089+09:00	False
3231	tseigo/learning-javascript-with-obniz	False	0	1	2023-01-04T16:44:09.519+09:00	False
3232	ryurock/697ee7ad01fb41	False	0	17	2023-01-04T06:21:39.606+09:00	False
3233	yuta_okoshi/f1cbdb51dfea2e	False	0	26	2023-01-03T17:23:39.923+09:00	False
3234	kohki_s/c63c36090ced82	False	800	9	2023-01-02T23:53:55.303+09:00	False
3235	tacchan5424/d1a857f228afdf	False	0	30	2023-01-02T13:05:57.615+09:00	False
3236	sikimu/8ef25628043946	False	0	2	2023-01-02T00:19:08.527+09:00	False
3237	knaka0209/a7dd4a9b5b636f	False	0	15	2023-01-01T16:36:03.505+09:00	False
3238	joo_hashi/83f2fc29a83b89	False	500	6	2023-01-01T10:44:03.141+09:00	False
3239	miyaji26/82f133a9e02c04	False	1000	0	2022-12-31T23:48:07.101+09:00	False
3240	yuno_miyako/1e71f2f7b97cfd	True	2500	148	2022-12-31T19:48:26.292+09:00	False
3241	unico417/2ea4fc2d42c281	False	0	2	2022-12-30T21:55:21.740+09:00	False
3242	okapee0608/aws_solutionarchitectprofessional	False	1000	5	2022-12-30T12:18:54.645+09:00	False
3243	cyber_hacnosuke/minecraft-modding	False	0	22	2022-12-30T00:18:52.269+09:00	False
3244	nextzlog/scala-s-pattern-recognition-machine-learning	False	0	7	2022-12-29T14:49:07.598+09:00	False
3245	nextzlog/parallel-work-stealing-scheduler-on-d	False	0	4	2022-12-29T14:49:05.440+09:00	False
3246	nextzlog/computation-models-compilers-on-scala	False	0	12	2022-12-29T14:49:02.060+09:00	False
3247	nextzlog/chapel-the-parallel-programming-language	False	0	2	2022-12-29T14:48:58.782+09:00	False
